Leftarmpitangle,Rightarmpitangle,Leftshoulderangle,Rightshoulderangle,Leftelbowangle,Rightelbowangle,Lefthipangle,Righthipangle,Leftgroinangle,Rightgroinangle,Leftkneeangle,Rightkneeangle,Slope,action
179.26381417767732,152.81574971899926,91.59839363669106,82.02165488496404,171.4112707472054,170.1087519133049,106.43119958355365,79.94875189479133,18.856760581115406,19.401317651201143,142.32312005779175,141.22840675964693,6.361034660199521,pulldown
178.87952775301713,146.20807855437943,94.57391466335692,80.75678450970331,176.06274609012917,164.7337511015635,100.20243940497733,84.46686142196243,16.63098854600998,51.63748481653448,114.07298435247577,71.23042955157409,3.0523566892848635,pulldown
174.3242822834301,150.73830436722292,100.85030760235844,74.14989710213361,170.91430611246923,165.2036983400981,105.8832351467654,79.11656014874269,20.222243478278898,47.267977327130446,125.91076271622964,75.74852351742815,2.814925271168543,pulldown
177.9466789286695,142.9318132119331,92.17560089220036,81.96985111548,178.74657725906354,161.45092391863258,103.52456953800575,82.32997845431389,10.310955442212588,49.958807676427625,139.46419114530494,67.91758416224364,3.571486217209842,pulldown
174.744758569295,155.17026989778046,77.1572502427867,98.8270347637373,172.8758177794833,166.9707820053237,109.64791523347108,74.36779976000494,6.151549573858139,6.3627175459622585,167.06915133445008,167.27933786281827,24.055846957541906,pulldown
172.33398279698358,154.41085031028518,79.08026480958125,88.22925957225473,162.08349521634423,150.98844357385136,99.90265012989666,92.78782548826737,1.799887076616888,1.077881184531192,176.12636169356506,177.69939017551005,15.586054939901615,pulldown
174.55512392274167,158.81076079369626,80.52325231065029,87.38289473819796,163.90963337039875,157.514203157606,99.16274974720159,92.93110320395014,0.672112954681123,0.2327651185599173,178.52742740732052,179.48220278536712,11.852285040499387,pulldown
172.78551690275822,163.08796760305324,80.07254779188715,86.85965120074866,155.8335227714114,160.51355176405687,97.16787680266418,95.89992420470003,0.19461124058810939,0.15244134854161487,179.59075610709763,179.68123099688538,11.622450615122927,pulldown
174.9456172334336,156.12549691398934,84.02583095975862,83.96144141749298,166.3187460574674,148.6236252371003,99.08239321897679,92.93033440377172,2.1043315742346707,2.093718991910914,175.30230448588378,175.56154420183708,11.56022033267228,pulldown
176.0712095387454,173.26673542702412,78.67761625723371,89.49674547694083,172.10893085970477,174.35885091676485,100.7268050990593,91.09883316676616,0.3396912510386078,6.0285307036323,179.2811733770702,166.40907634747157,13.12592830075327,pulldown
161.6383737765132,158.84997073686964,84.89343393849622,83.00659278743925,157.78202834237987,144.73501579054135,101.42394052491414,90.67603274915041,2.223537367152287,0.6817128056963553,175.26626433149463,178.5167189412729,11.686191767740219,pulldown
158.32882406975645,128.63689027797446,54.77552363414286,114.99353165059989,170.00740211987727,155.263460772483,98.9224020176374,70.84665326710534,9.566898307234046,6.82630062743614,159.9636185597169,166.22395699397057,4.01343842403468,pulldown
175.12160937018652,140.61084962351987,74.87878647443084,102.54995465763318,169.40268563848875,158.78241770838352,111.09435666431422,71.47690220362188,5.963163636677932,5.734192005868024,167.83376791824006,168.80189076328577,10.258745247616218,pulldown
170.18339120502844,164.41276993914897,83.89271012014419,84.64102673098732,165.73609059618457,159.24568239328502,101.19047670499693,90.27578644387165,0.8882686334529843,0.9699346344248323,177.98818557095026,177.83197987063522,20.08926945846043,pulldown
165.79799515233296,166.75397272161734,83.22346188850192,87.56736229811399,169.42325747090172,174.02472777800867,97.73487891835168,91.47429689503241,2.4216226706107022,9.343331548756497,173.31580485283968,157.10446115481628,8.94409018688345,pulldown
165.4484130079518,165.99983917515482,85.52246571705508,85.30280486412205,168.44169355288784,174.4542386132133,99.37164862740744,89.80308079141548,1.1635025655607643,7.879642063811329,172.31577913858945,161.00190329764828,9.441370455134681,pulldown
160.62555789495252,161.22912977441706,84.58062619249269,86.69865905615076,160.82883302170117,167.7918772249938,98.94010435575603,89.78061039560055,1.4036472808467575,7.377519006493262,171.9704724016649,158.30879295046898,8.847308491782837,pulldown
161.58016553208233,160.68043725333692,84.26179747615228,85.67880770649771,158.88134988642315,164.65849160420507,98.67578475472038,91.3836100626297,4.156374159570164,13.568457908514821,128.97719600065878,147.1934542389558,7.229913143663697,pulldown
